player_id,Player,Squad,minutes,appearances,shots_total,shots_on,goals_total,fouls_committed,duels_total,duels_won,pass_total,pass_accurate,key_passes,takeons_total,takeons_won,ball_recoveries,at_actions
Jules Koundé|France,Jules Koundé,France,100,1,0,0,0,1,5,1,69,55,1,0,0,5,2
Michael Olise|France,Michael Olise,France,100,1,2,2,0,0,0,0,61,52,4,3,2,6,2
Sadio Mané|Senegal,Sadio Mané,Senegal,95,1,1,1,0,0,3,1,31,27,0,3,1,4,0
Nicolas Jackson|Senegal,Nicolas Jackson,Senegal,83,1,1,0,0,2,5,1,18,12,2,1,0,2,1
El Hadji Malick Diouf|Senegal,El Hadji Malick Diouf,Senegal,97,1,0,0,0,1,4,4,56,41,1,0,0,6,0
Moussa Niakhaté|Senegal,Moussa Niakhaté,Senegal,98,1,0,0,0,0,0,0,85,76,0,0,0,1,0
Pape Gueye|Senegal,Pape Gueye,Senegal,83,1,0,0,0,1,0,0,49,42,0,1,0,7,1
Idrissa Gueye|Senegal,Idrissa Gueye,Senegal,88,1,0,0,0,1,0,0,62,57,0,0,0,6,0
Mike Maignan|France,Mike Maignan,France,100,1,0,0,0,0,0,0,46,35,0,0,0,2,0
William Saliba|France,William Saliba,France,98,1,0,0,0,0,1,1,72,69,0,0,0,2,0
Dayot Upamecano|France,Dayot Upamecano,France,100,1,0,0,0,1,4,1,80,70,1,0,0,5,0
Ousmane Dembélé|France,Ousmane Dembélé,France,80,1,1,1,0,0,0,0,36,26,0,1,0,3,0
Adrien Rabiot|France,Adrien Rabiot,France,95,1,0,0,0,1,2,2,50,46,2,0,0,5,1
Kylian Mbappé|France,Kylian Mbappé,France,98,1,4,4,2,2,0,0,16,15,0,9,1,2,0
Édouard Mendy|Senegal,Édouard Mendy,Senegal,90,1,0,0,0,0,0,0,41,35,0,0,0,6,0
Désiré Doué|France,Désiré Doué,France,87,1,2,1,0,0,2,1,36,31,1,4,1,4,0
Ismaïla Sarr|Senegal,Ismaïla Sarr,Senegal,75,1,3,1,0,0,2,0,14,11,1,4,2,1,0
Ibrahim Mbaye|Senegal,Ibrahim Mbaye,Senegal,100,1,1,1,1,0,1,0,10,7,0,1,1,2,0
Habib Diarra|Senegal,Habib Diarra,Senegal,98,1,0,0,0,2,0,0,9,8,0,0,0,2,0
Bradley Barcola|France,Bradley Barcola,France,96,1,1,1,1,0,1,1,7,6,0,3,1,0,0
Iliman Ndiaye|Senegal,Iliman Ndiaye,Senegal,100,1,0,0,0,0,0,0,10,9,1,0,0,1,1
Bamba Dieng|Senegal,Bamba Dieng,Senegal,99,1,0,0,0,0,1,0,3,3,0,0,0,1,0
Rayan Cherki|France,Rayan Cherki,France,100,1,0,0,0,0,0,0,8,5,0,0,0,3,0
Pathé Ciss|Senegal,Pathé Ciss,Senegal,98,1,0,0,0,0,1,1,14,12,0,0,0,0,0
Jürgen Locadia|Curacao,Jürgen Locadia,Curacao,65,1,0,0,0,1,2,0,14,13,0,2,0,0,0
Leandro Bacuna|Curacao,Leandro Bacuna,Curacao,94,1,2,0,0,1,3,2,58,49,1,2,1,4,1
Deveron Fonville|Curacao,Deveron Fonville,Curacao,92,1,0,0,0,1,0,0,24,19,0,3,1,5,0
Armando Obispo|Curacao,Armando Obispo,Curacao,94,1,0,0,0,0,2,1,41,37,0,1,0,5,0
Eloy Room|Curacao,Eloy Room,Curacao,91,1,0,0,0,0,0,0,34,20,0,0,0,0,0
Nico Schlotterbeck|Germany,Nico Schlotterbeck,Germany,94,1,2,2,1,2,4,4,86,74,0,3,2,8,0
Kai Havertz|Germany,Kai Havertz,Germany,95,1,4,4,2,1,4,1,41,38,0,1,0,1,0
Jamal Musiala|Germany,Jamal Musiala,Germany,64,1,3,3,1,2,0,0,27,14,2,5,4,2,2
Joshua Kimmich|Germany,Joshua Kimmich,Germany,83,1,0,0,0,0,0,0,83,72,5,0,0,5,1
Juninho Bacuna|Curacao,Juninho Bacuna,Curacao,94,1,1,0,0,2,2,0,34,28,0,10,3,9,1
Tahith Chong|Curacao,Tahith Chong,Curacao,83,1,1,0,0,1,0,0,19,13,0,8,5,4,0
Aleksandar Pavlovic|Germany,Aleksandar Pavlovic,Germany,94,1,3,2,0,6,0,0,72,67,1,1,1,6,1
Riechedly Bazoer|Curacao,Riechedly Bazoer,Curacao,94,1,0,0,0,2,0,0,35,31,0,0,0,1,0
Florian Wirtz|Germany,Florian Wirtz,Germany,94,1,3,2,0,0,0,0,68,58,4,3,1,8,2
Felix Nmecha|Germany,Felix Nmecha,Germany,73,1,4,3,1,1,2,2,40,38,0,1,0,2,2
Nathaniel Brown|Germany,Nathaniel Brown,Germany,73,1,2,2,1,2,0,0,46,39,3,2,0,2,0
Leroy Sané|Germany,Leroy Sané,Germany,93,1,3,0,0,1,1,0,51,41,2,3,1,5,2
Sontje Hansen|Curacao,Sontje Hansen,Curacao,47,1,1,1,0,0,0,0,7,6,2,0,0,2,0
Sherel Floranus|Curacao,Sherel Floranus,Curacao,94,1,0,0,0,1,0,0,37,30,0,0,0,4,0
Livano Comenencia|Curacao,Livano Comenencia,Curacao,96,1,2,1,1,1,1,1,27,22,2,2,2,5,0
Jonathan Tah|Germany,Jonathan Tah,Germany,73,1,0,0,0,2,0,0,71,69,1,0,0,4,0
Manuel Neuer|Germany,Manuel Neuer,Germany,92,1,0,0,0,0,0,0,24,20,0,0,0,0,0
Jeremy Antonisse|Curacao,Jeremy Antonisse,Curacao,95,1,0,0,0,0,0,0,24,18,1,1,0,2,1
Deniz Undav|Germany,Deniz Undav,Germany,94,1,1,1,1,1,0,0,12,8,3,2,0,3,0
Jearl Margaritha|Curacao,Jearl Margaritha,Curacao,92,1,1,0,0,0,1,0,6,5,0,2,0,0,0
Antonio Rüdiger|Germany,Antonio Rüdiger,Germany,92,1,0,0,0,0,1,1,17,14,0,0,0,1,0
Leon Goretzka|Germany,Leon Goretzka,Germany,95,1,0,0,0,0,1,1,13,11,0,0,0,1,0
David Raum|Germany,David Raum,Germany,95,1,1,1,0,0,0,0,10,6,0,0,0,0,1
Gervane Kastaneer|Curacao,Gervane Kastaneer,Curacao,91,1,0,0,0,1,2,0,5,4,0,0,0,0,0
Waldemar Anton|Germany,Waldemar Anton,Germany,96,1,0,0,0,0,0,0,7,6,0,0,0,1,0
Kamaldeen Sulemana|Ghana,Kamaldeen Sulemana,Ghana,58,1,0,0,0,1,1,0,13,10,1,3,1,3,1
Gideon Mensah|Ghana,Gideon Mensah,Ghana,94,1,0,0,0,0,4,2,58,51,0,3,1,4,0
Jerome Opoku|Ghana,Jerome Opoku,Ghana,93,1,0,0,0,0,2,1,45,41,1,0,0,3,0
Jordan Ayew|Ghana,Jordan Ayew,Ghana,87,1,0,0,0,2,10,8,22,11,1,4,2,0,0
Andrés Andrade|Panama,Andrés Andrade,Panama,102,1,0,0,0,2,7,4,102,83,0,0,0,2,0
Jiovany Ramos|Panama,Jiovany Ramos,Panama,101,1,2,0,0,1,1,1,90,81,0,2,2,2,1
Orlando Mosquera|Panama,Orlando Mosquera,Panama,99,1,0,0,0,0,1,1,33,28,1,0,0,1,0
José Córdoba|Panama,José Córdoba,Panama,98,1,0,0,0,1,2,0,101,91,0,1,1,4,0
Amir Murillo|Panama,Amir Murillo,Panama,102,1,0,0,0,0,5,3,54,44,3,3,1,7,0
Antoine Semenyo|Ghana,Antoine Semenyo,Ghana,98,1,2,1,0,2,2,2,26,21,1,1,0,2,0
Elisha Owusu|Ghana,Elisha Owusu,Ghana,78,1,0,0,0,0,0,0,26,19,0,1,0,2,1
Marvin Senaya|Ghana,Marvin Senaya,Ghana,93,1,0,0,0,1,0,0,43,31,0,0,0,2,0
César Blackman|Panama,César Blackman,Panama,90,1,2,2,0,1,2,1,46,42,0,2,0,7,1
Cecilio Waterman|Panama,Cecilio Waterman,Panama,63,1,1,1,0,0,1,0,8,5,0,0,0,0,0
Lawrence Ati Zigi|Ghana,Lawrence Ati Zigi,Ghana,47,1,0,0,0,0,0,0,13,10,0,0,0,2,0
Caleb Yirenkyi|Ghana,Caleb Yirenkyi,Ghana,99,1,2,1,1,1,3,0,32,31,0,3,3,9,2
Carlos Harvey|Panama,Carlos Harvey,Panama,101,1,1,0,0,5,6,0,55,45,0,1,0,5,4
Cristian Martínez|Panama,Cristian Martínez,Panama,63,1,1,0,0,1,2,1,22,17,0,0,0,2,1
José Luis Rodríguez|Panama,José Luis Rodríguez,Panama,74,1,0,0,0,0,1,0,27,17,0,5,0,3,0
Jonas Adjetey|Ghana,Jonas Adjetey,Ghana,93,1,2,1,0,0,3,3,52,47,0,0,0,4,0
Yoel Bárcenas|Panama,Yoel Bárcenas,Panama,99,1,2,1,0,0,3,2,58,53,0,3,1,5,0
Ernest Nuamah|Ghana,Ernest Nuamah,Ghana,58,1,0,0,0,0,4,1,14,10,0,3,0,4,0
Benjamin Asare|Ghana,Benjamin Asare,Ghana,101,1,0,0,0,0,1,1,11,7,0,0,0,0,0
Brandon Thomas-Asante|Ghana,Brandon Thomas-Asante,Ghana,101,1,1,1,0,0,1,1,6,1,0,1,1,1,0
Abdul Fatawu|Ghana,Abdul Fatawu,Ghana,93,1,1,0,0,0,0,0,13,10,1,5,1,3,0
José Fajardo|Panama,José Fajardo,Panama,86,1,0,0,0,0,1,0,3,0,0,0,0,1,0
Azarías Londoño|Panama,Azarías Londoño,Panama,102,1,0,0,0,0,1,0,12,11,1,0,0,4,0
Ismael Díaz|Panama,Ismael Díaz,Panama,99,1,2,2,0,0,0,0,10,8,0,1,1,1,0
Kwasi Sibo|Ghana,Kwasi Sibo,Ghana,101,1,0,0,0,0,1,1,16,15,0,0,0,1,0
Prince Adu|Ghana,Prince Adu,Ghana,101,1,0,0,0,2,1,0,2,2,0,3,0,2,0
Aníbal Godoy|Panama,Aníbal Godoy,Panama,102,1,0,0,0,0,0,0,9,8,0,0,0,1,0
Lawrence Shankland|Scotland,Lawrence Shankland,Scotland,83,1,2,1,0,4,6,5,16,7,0,0,0,2,1
Lewis Ferguson|Scotland,Lewis Ferguson,Scotland,91,1,0,0,0,1,4,3,45,40,0,0,0,4,0
Martin Expérience|Haiti,Martin Expérience,Haiti,97,1,1,0,0,2,0,0,53,40,2,1,0,6,0
Aaron Hickey|Scotland,Aaron Hickey,Scotland,75,1,0,0,0,2,1,1,44,38,2,1,0,0,0
Ben Gannon-Doak|Scotland,Ben Gannon-Doak,Scotland,75,1,2,1,0,0,0,0,25,20,2,8,2,1,0
Grant Hanley|Scotland,Grant Hanley,Scotland,98,1,0,0,0,1,6,2,50,46,0,0,0,0,0
Jack Hendry|Scotland,Jack Hendry,Scotland,92,1,0,0,0,0,1,1,56,51,0,0,0,0,0
Hannes Delcroix|Haiti,Hannes Delcroix,Haiti,97,1,0,0,0,0,6,1,67,67,0,0,0,6,0
Johny Placide|Haiti,Johny Placide,Haiti,98,1,0,0,0,0,0,0,33,22,0,0,0,4,0
Jean-Ricner Bellegarde|Haiti,Jean-Ricner Bellegarde,Haiti,97,1,3,1,0,1,1,1,72,55,2,3,1,6,0
Scott McTominay|Scotland,Scott McTominay,Scotland,98,1,2,0,0,1,1,1,29,27,0,4,1,5,0
Andy Robertson|Scotland,Andy Robertson,Scotland,94,1,0,0,0,2,2,0,59,42,2,1,1,1,0
Ché Adams|Scotland,Ché Adams,Scotland,75,1,1,1,0,4,6,3,11,8,0,0,0,0,0
Ricardo Adé|Haiti,Ricardo Adé,Haiti,92,1,1,0,0,1,5,2,64,56,0,0,0,4,0
Frantzdy Pierrot|Haiti,Frantzdy Pierrot,Haiti,98,1,3,2,0,4,9,4,6,5,1,0,0,1,1
John McGinn|Scotland,John McGinn,Scotland,83,1,2,1,1,0,1,1,14,11,1,2,1,1,0
Danley Jean Jacques|Haiti,Danley Jean Jacques,Haiti,92,1,0,0,0,3,1,1,55,45,1,0,0,5,2
Carlens Arcus|Haiti,Carlens Arcus,Haiti,98,1,0,0,0,3,3,0,42,38,1,0,0,0,0
Louicius Deedson|Haiti,Louicius Deedson,Haiti,61,1,1,0,0,2,0,0,11,7,0,4,3,2,1
Angus Gunn|Scotland,Angus Gunn,Scotland,97,1,0,0,0,0,0,0,42,30,0,0,0,1,0
Wilson Isidor|Haiti,Wilson Isidor,Haiti,76,1,2,1,0,3,6,3,9,5,1,0,0,0,0
Ruben Providence|Haiti,Ruben Providence,Haiti,85,1,3,2,0,2,0,0,27,23,1,4,1,3,1
Josué Casimir|Haiti,Josué Casimir,Haiti,97,1,1,0,0,1,0,0,22,18,1,3,1,0,0
Ryan Christie|Scotland,Ryan Christie,Scotland,98,1,0,0,0,1,0,0,5,3,0,1,0,3,0
Lyndon Dykes|Scotland,Lyndon Dykes,Scotland,97,1,0,0,0,2,3,2,6,3,0,0,0,0,0
Nathan Patterson|Scotland,Nathan Patterson,Scotland,98,1,0,0,0,1,1,1,7,4,0,0,0,1,0
Lenny Joseph|Haiti,Lenny Joseph,Haiti,94,1,0,0,0,1,1,0,4,2,1,2,0,1,0
Findlay Curtis|Scotland,Findlay Curtis,Scotland,97,1,0,0,0,1,0,0,4,2,0,0,0,0,0
Kenny McLean|Scotland,Kenny McLean,Scotland,98,1,0,0,0,1,0,0,3,3,0,0,0,1,1
Yassin Fortuné|Haiti,Yassin Fortuné,Haiti,98,1,0,0,0,0,0,0,5,5,0,0,0,0,0
Chris Wood|New Zealand,Chris Wood,New Zealand,93,1,4,3,0,0,4,2,16,14,2,2,0,0,0
Joe Bell|New Zealand,Joe Bell,New Zealand,93,1,0,0,0,1,4,2,50,40,0,1,1,4,1
Tim Payne|New Zealand,Tim Payne,New Zealand,78,1,0,0,0,1,3,1,38,29,0,0,0,2,0
Sarpreet Singh|New Zealand,Sarpreet Singh,New Zealand,92,1,3,2,0,1,1,0,47,34,1,6,2,7,1
Callum McCowatt|New Zealand,Callum McCowatt,New Zealand,68,1,2,1,0,0,3,2,37,30,0,2,2,4,0
Milad Mohammadi|Iran,Milad Mohammadi,Iran,95,1,0,0,0,0,1,0,53,39,0,1,0,0,0
Finn Surman|New Zealand,Finn Surman,New Zealand,91,1,1,0,0,0,1,1,54,51,1,0,0,3,0
Mohammad Mohebbi|Iran,Mohammad Mohebbi,Iran,94,1,2,2,1,0,3,3,29,19,0,0,0,6,1
Mehdi Taremi|Iran,Mehdi Taremi,Iran,80,1,2,0,0,0,4,4,39,30,1,2,1,6,2
Ramin Rezaeian|Iran,Ramin Rezaeian,Iran,95,1,1,1,1,0,2,1,58,38,3,1,1,5,0
Arya Yousefi|Iran,Arya Yousefi,Iran,51,1,1,1,0,0,0,0,19,17,1,2,0,3,0
Saeid Ezatolahi|Iran,Saeid Ezatolahi,Iran,94,1,2,1,0,2,7,3,45,38,0,1,1,5,0
Alireza Beiranvand|Iran,Alireza Beiranvand,Iran,93,1,0,0,0,0,0,0,22,20,0,1,1,1,0
Ali Nemati|Iran,Ali Nemati,Iran,95,1,1,0,0,1,3,2,55,50,2,0,0,3,0
Michael Boxall|New Zealand,Michael Boxall,New Zealand,94,1,0,0,0,0,5,2,56,50,0,0,0,2,0
Marko Stamenic|New Zealand,Marko Stamenic,New Zealand,92,1,1,1,0,2,6,2,58,51,0,0,0,5,0
Shahriyar Moghanloo|Iran,Shahriyar Moghanloo,Iran,53,1,3,1,0,1,11,6,20,8,0,0,0,4,0
Saman Ghoddos|Iran,Saman Ghoddos,Iran,65,1,2,0,0,0,1,1,28,18,1,1,0,2,3
Elijah Just|New Zealand,Elijah Just,New Zealand,95,1,2,2,2,1,3,1,29,24,1,3,1,7,2
Max Crocombe|New Zealand,Max Crocombe,New Zealand,92,1,0,0,0,0,0,0,41,32,1,0,0,2,0
Shoja Khalilzadeh|Iran,Shoja Khalilzadeh,Iran,95,1,0,0,0,2,2,2,49,36,0,0,0,5,0
Liberato Cacace|New Zealand,Liberato Cacace,New Zealand,68,1,1,1,0,0,1,0,26,19,0,0,0,4,1
Mehdi Ghayedi|Iran,Mehdi Ghayedi,Iran,95,1,1,1,0,2,3,1,13,7,1,2,0,1,1
Ali Alipour|Iran,Ali Alipour,Iran,95,1,1,1,0,1,1,0,9,5,0,0,0,1,0
Ehsan Hajisafi|Iran,Ehsan Hajisafi,Iran,95,1,1,1,0,1,1,1,9,7,0,0,0,0,0
Ryan Thomas|New Zealand,Ryan Thomas,New Zealand,95,1,0,0,0,2,3,1,6,3,0,2,0,0,0
Ben Old|New Zealand,Ben Old,New Zealand,91,1,0,0,0,0,1,0,9,7,0,0,0,0,0
Callan Elliot|New Zealand,Callan Elliot,New Zealand,94,1,0,0,0,0,3,1,9,6,0,0,0,1,0
Amirhossein Hosseinzadeh|Iran,Amirhossein Hosseinzadeh,Iran,95,1,0,0,0,0,1,0,9,8,1,1,0,1,0
Jesse Randall|New Zealand,Jesse Randall,New Zealand,92,1,0,0,0,0,0,0,1,1,1,0,0,0,0
Tyler Bindon|New Zealand,Tyler Bindon,New Zealand,95,1,0,0,0,0,2,1,1,1,0,0,0,1,0
Amir Al Ammari|Iraq,Amir Al Ammari,Iraq,95,1,0,0,0,1,2,1,52,44,3,0,0,3,0
David Møller Wolfe|Norway,David Møller Wolfe,Norway,73,1,0,0,0,3,3,1,51,42,1,1,0,2,0
Akam Hashim|Iraq,Akam Hashim,Iraq,94,1,1,0,0,0,4,1,52,42,0,3,3,1,0
Zaid Ismael|Iraq,Zaid Ismael,Iraq,59,1,0,0,0,2,3,2,27,23,0,1,0,4,0
Ørjan Nyland|Norway,Ørjan Nyland,Norway,95,1,0,0,0,0,0,0,34,28,0,0,0,3,0
Kristoffer Ajer|Norway,Kristoffer Ajer,Norway,96,1,0,0,0,0,7,5,66,57,0,0,0,4,0
Torbjørn Heggem|Norway,Torbjørn Heggem,Norway,93,1,0,0,0,1,2,2,87,80,0,0,0,2,0
Hussein Ali|Iraq,Hussein Ali,Iraq,73,1,1,0,0,1,1,1,20,17,0,1,0,0,0
Zaid Tahseen|Iraq,Zaid Tahseen,Iraq,96,1,2,0,0,3,3,1,38,30,0,0,0,2,0
Jalal Hassan|Iraq,Jalal Hassan,Iraq,91,1,0,0,0,0,0,0,35,28,0,0,0,0,0
Fredrik Aursnes|Norway,Fredrik Aursnes,Norway,73,1,0,0,0,0,4,2,30,28,0,0,0,1,0
Alexander Sørloth|Norway,Alexander Sørloth,Norway,73,1,2,2,0,3,3,2,16,13,1,3,0,1,0
Aymen Hussein|Iraq,Aymen Hussein,Iraq,96,1,4,2,2,2,9,2,15,12,1,0,0,1,0
Julian Ryerson|Norway,Julian Ryerson,Norway,96,1,0,0,0,2,1,0,70,57,3,5,1,3,2
Martin Ødegaard|Norway,Martin Ødegaard,Norway,81,1,1,0,0,1,0,0,44,42,1,3,0,0,0
Antonio Nusa|Norway,Antonio Nusa,Norway,73,1,0,0,0,0,2,1,24,17,0,7,2,1,0
Erling Haaland|Norway,Erling Haaland,Norway,96,1,5,4,2,2,3,3,9,4,1,2,1,2,2
Merchas Doski|Iraq,Merchas Doski,Iraq,95,1,0,0,0,0,0,0,42,34,1,3,1,5,0
Sander Berge|Norway,Sander Berge,Norway,92,1,0,0,0,1,1,0,82,78,0,1,1,10,0
Ali Jasim|Iraq,Ali Jasim,Iraq,73,1,0,0,0,0,1,0,20,15,1,5,2,1,0
Ibrahim Bayesh|Iraq,Ibrahim Bayesh,Iraq,78,1,1,1,0,0,3,2,21,16,1,4,1,3,0
Ali Al Hamadi|Iraq,Ali Al Hamadi,Iraq,59,1,3,1,0,1,1,0,13,9,0,1,1,5,1
Zidane Iqbal|Iraq,Zidane Iqbal,Iraq,95,1,0,0,0,0,0,0,20,17,0,3,2,0,0
Marko Farji|Iraq,Marko Farji,Iraq,94,1,0,0,0,0,0,0,6,4,0,2,0,2,0
Andreas Schjelderup|Norway,Andreas Schjelderup,Norway,95,1,0,0,0,0,0,0,5,5,0,2,0,0,0
Kristian Thorstvedt|Norway,Kristian Thorstvedt,Norway,95,1,2,1,0,0,0,0,10,10,0,0,0,1,0
Oscar Bobb|Norway,Oscar Bobb,Norway,90,1,0,0,0,0,0,0,20,18,1,0,0,2,0
Leo Østigård|Norway,Leo Østigård,Norway,93,1,2,1,1,0,1,1,20,17,0,0,0,1,0
Mustafa Saadoon|Iraq,Mustafa Saadoon,Iraq,96,1,0,0,0,2,0,0,1,1,0,0,0,0,0
Ahmed Qasem|Iraq,Ahmed Qasem,Iraq,89,1,0,0,0,0,0,0,2,2,0,0,0,2,0
